,Name,Size,Location
16,Bridgestone Arena,"17,113","Nashville, TN"
17,Prudential Center,"16,514","Newark, NJ"
18,UBS Arena,"17,113","Belmont Park, NY"
19,Madison Square Garden,"18,006","New York, NY"
20,Canadian Tire Centre,"18,572","Ottawa, ON"
21,Wells Fargo Center,"19,543","Philadelphia, PA"
22,PPG Paints Arena,"18,387","Pittsburgh, PA"
23,SAP Center at San Jose,"17,562","San Jose, CA"
24,Climate Pledge Arena,"17,100","Seattle, WA"
25,Enterprise Center,"18,096","St. Louis, MO"
26,Amalie Arena,"19,092","Tampa, FL"
27,Scotiabank Arena,"18,819","Toronto, ON"
28,Rogers Arena,"18,910","Vancouver, BC"
29,T-Mobile Arena,"17,367","Las Vegas, NV"
30,Capital One Arena,"18,277","Washington, DC"
31,Canada Life Centre,"15,321","Winnipeg, MB"
32,City Park,"22,120","St. Louis, MO"
